filename,label,file_size_kb,metadata_suspicious_count,ocr_text_length,ocr_confidence,amount_count,max_amount,average_amount,amount_variance,date_count,suspicious_keyword_count,ela_score,ela_mean,ela_std,ela_p95,ela_p99,ela_max,ela_high_ratio,image_width,image_height,image_aspect_ratio,image_mean,image_std,image_entropy,image_dark_ratio,image_light_ratio,image_edge_density,red_mean,green_mean,blue_mean,red_std,green_std,blue_std
kaggle_train_0000990274_crop_4.png,tampered,93.6298828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.83300537109375,17.928782343736362,46.0,92.0,255.0,0.05755859375,640.0,640.0,1.0,249.87802490234375,23.438582943842736,0.9444400470169337,0.00072021484375,0.95434326171875,0.0564404296875,249.87802490234375,249.87802490234375,249.87802490234375,23.43858294384282,23.43858294384282,23.43858294384282
kaggle_train_0000999294_crop_0.png,tampered,211.6884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,10.1226806640625,22.299895517236514,58.0,98.0,255.0,0.076142578125,640.0,640.0,1.0,238.8242333984375,40.23755860764092,2.3270595076729856,0.00046142578125,0.85914794921875,0.1503662109375,238.8242333984375,238.8242333984375,238.8242333984375,40.23755860764092,40.23755860764092,40.23755860764092
kaggle_train_0000999294_crop_1.png,tampered,193.4296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,10.086552734375,23.283232273645925,63.0,106.0,255.0,0.1281005859375,640.0,640.0,1.0,240.59803955078124,38.20734124950148,2.1323931395707088,0.00043701171875,0.8747802734375,0.1389892578125,240.59803955078124,240.59803955078124,240.59803955078124,38.207341249501525,38.207341249501525,38.207341249501525
kaggle_train_0001118259_crop_2.png,tampered,184.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.2307958984375,20.3164891479837,46.0,92.0,255.0,0.10084716796875,640.0,640.0,1.0,234.73095458984375,44.253513111082405,2.664271685376262,0.00130126953125,0.8053271484375,0.15053955078125,234.73095458984375,234.73095458984375,234.73095458984375,44.25351311108237,44.25351311108237,44.25351311108237
kaggle_train_0001118259_crop_4.png,tampered,183.9921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.215146484375,20.303010910436992,46.0,92.0,255.0,0.10069091796875,640.0,640.0,1.0,234.88162109375,44.074871879123116,2.6547282389355584,0.00130126953125,0.8064794921875,0.15026611328125,234.88162109375,234.88162109375,234.88162109375,44.07487187912313,44.07487187912313,44.07487187912313
kaggle_train_0001123541_crop_5.png,genuine,116.1708984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.95196044921875,20.36625985167851,46.0,92.0,255.0,0.07674072265625,640.0,640.0,1.0,243.3365380859375,36.23680826682606,1.636026699210082,0.00152587890625,0.90201416015625,0.1033251953125,243.3365380859375,243.3365380859375,243.3365380859375,36.236808266826095,36.236808266826095,36.236808266826095
kaggle_train_0001129658_crop_3.png,tampered,187.1474609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,9.852548828125,23.6250312364947,69.0,115.0,255.0,0.1111962890625,640.0,640.0,1.0,237.71714111328126,43.6943214132038,2.272601581717761,0.000869140625,0.8588525390625,0.147578125,237.71714111328126,237.71714111328126,237.71714111328126,43.694321413203895,43.694321413203895,43.694321413203895
kaggle_train_0001209043_crop_1.png,tampered,167.8974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,8.28535888671875,21.476884341738838,63.0,106.0,255.0,0.1050537109375,640.0,640.0,1.0,241.743505859375,38.47850482805563,1.8689527033595488,0.0004248046875,0.88966552734375,0.1150439453125,241.743505859375,241.743505859375,241.743505859375,38.47850482805563,38.47850482805563,38.47850482805563
kaggle_train_0001239897_crop_2.png,tampered,122.36328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.6706298828125,20.111312836256584,46.0,92.0,255.0,0.0762353515625,640.0,640.0,1.0,210.0453076171875,90.5570627247218,2.0256675562950104,0.1420947265625,0.7800341796875,0.08470947265625,210.0453076171875,210.0453076171875,210.0453076171875,90.5570627247218,90.5570627247218,90.5570627247218
kaggle_train_0001438955_crop_5.png,tampered,106.1630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.97716796875,17.023684993815575,42.0,85.0,255.0,0.0634814453125,640.0,640.0,1.0,247.60925048828125,29.392881241061122,1.1485669593589485,0.0009423828125,0.93875,0.06697021484375,247.60925048828125,247.60925048828125,247.60925048828125,29.39288124106122,29.39288124106122,29.39288124106122
